PassengerId,Survived,Pclass,Sex,Age,Fare,Embarked
1,0,3,male,22.0,7.25,S
2,1,1,female,38.0,71.28,C
3,1,3,female,26.0,7.92,S
4,1,1,female,35.0,53.1,S
5,0,3,male,35.0,8.05,S
6,0,3,male,31.0,8.46,Q
7,0,1,male,54.0,51.86,S
8,0,3,male,2.0,21.07,S
9,1,3,female,27.0,11.13,S
10,1,2,female,14.0,30.07,C
11,0,3,male,20.0,7.89,S
12,1,1,female,58.0,80.0,C
13,0,3,male,32.0,7.75,Q
14,1,2,female,24.0,26.0,S
15,0,3,male,31.0,8.05,S
16,1,1,female,45.0,83.15,C
17,0,3,male,19.0,7.22,S
18,1,2,female,30.0,13.0,S
19,0,3,male,40.0,7.9,Q
20,1,1,female,36.0,52.0,S
