PassengerId,Survived,Pclass,Sex,Age,Fare,Embarked
1,0,3,male,22,7.25,S
2,1,1,female,38,71.28,C
3,1,3,female,26,7.92,S
4,1,1,female,35,53.10,S
5,0,3,male,35,8.05,S
6,0,3,male,,8.46,Q
7,0,1,male,54,51.86,S
8,0,3,male,2,21.07,S
9,1,3,female,27,11.13,S
10,1,2,female,14,30.07,C
11,0,3,male,20,7.89,S
12,1,1,female,58,80.00,C
13,0,3,male,32,7.75,Q
14,1,2,female,24,26.00,S
15,0,3,male,,8.05,S
16,1,1,female,45,83.15,C
17,0,3,male,19,7.22,S
18,1,2,female,30,13.00,S
19,0,3,male,40,7.90,Q
20,1,1,female,36,52.00,S
